Kategori: Tüm kategoriler

Hafta,IST:AEFES: (Türkiye)
2015-07-26,0
2015-08-02,30
2015-08-09,0
2015-08-16,0
2015-08-23,0
2015-08-30,22
2015-09-06,0
2015-09-13,49
2015-09-20,68
2015-09-27,0
2015-10-04,0
2015-10-11,0
2015-10-18,18
2015-10-25,47
2015-11-01,0
2015-11-08,24
2015-11-15,0
2015-11-22,0
2015-11-29,0
2015-12-06,0
2015-12-13,0
2015-12-20,18
2015-12-27,21
2016-01-03,0
2016-01-10,28
2016-01-17,0
2016-01-24,19
2016-01-31,0
2016-02-07,19
2016-02-14,0
2016-02-21,0
2016-02-28,28
2016-03-06,41
2016-03-13,0
2016-03-20,18
2016-03-27,18
2016-04-03,28
2016-04-10,0
2016-04-17,26
2016-04-24,44
2016-05-01,0
2016-05-08,41
2016-05-15,0
2016-05-22,27
2016-05-29,0
2016-06-05,0
2016-06-12,0
2016-06-19,0
2016-06-26,40
2016-07-03,0
2016-07-10,42
2016-07-17,37
2016-07-24,41
2016-07-31,0
2016-08-07,0
2016-08-14,0
2016-08-21,19
2016-08-28,37
2016-09-04,0
2016-09-11,0
2016-09-18,0
2016-09-25,19
2016-10-02,0
2016-10-09,0
2016-10-16,34
2016-10-23,29
2016-10-30,28
2016-11-06,50
2016-11-13,24
2016-11-20,54
2016-11-27,50
2016-12-04,0
2016-12-11,26
2016-12-18,16
2016-12-25,48
2017-01-01,48
2017-01-08,34
2017-01-15,0
2017-01-22,0
2017-01-29,0
2017-02-05,0
2017-02-12,0
2017-02-19,0
2017-02-26,17
2017-03-05,0
2017-03-12,0
2017-03-19,0
2017-03-26,0
2017-04-02,39
2017-04-09,22
2017-04-16,21
2017-04-23,0
2017-04-30,0
2017-05-07,48
2017-05-14,19
2017-05-21,78
2017-05-28,25
2017-06-04,24
2017-06-11,0
2017-06-18,87
2017-06-25,0
2017-07-02,0
2017-07-09,0
2017-07-16,0
2017-07-23,27
2017-07-30,35
2017-08-06,68
2017-08-13,0
2017-08-20,28
2017-08-27,0
2017-09-03,0
2017-09-10,0
2017-09-17,0
2017-09-24,0
2017-10-01,77
2017-10-08,38
2017-10-15,19
2017-10-22,20
2017-10-29,25
2017-11-05,47
2017-11-12,51
2017-11-19,0
2017-11-26,23
2017-12-03,61
2017-12-10,20
2017-12-17,55
2017-12-24,19
2017-12-31,31
2018-01-07,0
2018-01-14,33
2018-01-21,0
2018-01-28,0
2018-02-04,28
2018-02-11,0
2018-02-18,0
2018-02-25,0
2018-03-04,22
2018-03-11,19
2018-03-18,0
2018-03-25,18
2018-04-01,0
2018-04-08,18
2018-04-15,21
2018-04-22,0
2018-04-29,38
2018-05-06,21
2018-05-13,17
2018-05-20,46
2018-05-27,0
2018-06-03,0
2018-06-10,24
2018-06-17,0
2018-06-24,19
2018-07-01,46
2018-07-08,0
2018-07-15,52
2018-07-22,85
2018-07-29,0
2018-08-05,0
2018-08-12,28
2018-08-19,0
2018-08-26,22
2018-09-02,19
2018-09-09,0
2018-09-16,25
2018-09-23,0
2018-09-30,0
2018-10-07,100
2018-10-14,0
2018-10-21,0
2018-10-28,19
2018-11-04,30
2018-11-11,27
2018-11-18,0
2018-11-25,24
2018-12-02,0
2018-12-09,24
2018-12-16,32
2018-12-23,0
2018-12-30,19
2019-01-06,0
2019-01-13,0
2019-01-20,0
2019-01-27,38
2019-02-03,0
2019-02-10,24
2019-02-17,34
2019-02-24,54
2019-03-03,0
2019-03-10,0
2019-03-17,19
2019-03-24,66
2019-03-31,19
2019-04-07,31
2019-04-14,43
2019-04-21,0
2019-04-28,40
2019-05-05,22
2019-05-12,33
2019-05-19,73
2019-05-26,30
2019-06-02,0
2019-06-09,43
2019-06-16,50
2019-06-23,37
2019-06-30,26
2019-07-07,43
2019-07-14,0
2019-07-21,37
