Kategori: Tüm kategoriler

Hafta,IST:PGSUS: (Türkiye)
2015-07-26,33
2015-08-02,18
2015-08-09,8
2015-08-16,23
2015-08-23,36
2015-08-30,11
2015-09-06,27
2015-09-13,6
2015-09-20,26
2015-09-27,32
2015-10-04,42
2015-10-11,15
2015-10-18,14
2015-10-25,13
2015-11-01,29
2015-11-08,25
2015-11-15,58
2015-11-22,55
2015-11-29,56
2015-12-06,46
2015-12-13,45
2015-12-20,33
2015-12-27,32
2016-01-03,30
2016-01-10,52
2016-01-17,42
2016-01-24,36
2016-01-31,49
2016-02-07,43
2016-02-14,37
2016-02-21,49
2016-02-28,68
2016-03-06,49
2016-03-13,47
2016-03-20,46
2016-03-27,62
2016-04-03,53
2016-04-10,43
2016-04-17,68
2016-04-24,44
2016-05-01,53
2016-05-08,29
2016-05-15,30
2016-05-22,37
2016-05-29,55
2016-06-05,51
2016-06-12,41
2016-06-19,23
2016-06-26,29
2016-07-03,0
2016-07-10,24
2016-07-17,54
2016-07-24,47
2016-07-31,36
2016-08-07,49
2016-08-14,73
2016-08-21,48
2016-08-28,46
2016-09-04,70
2016-09-11,19
2016-09-18,77
2016-09-25,41
2016-10-02,23
2016-10-09,20
2016-10-16,70
2016-10-23,85
2016-10-30,52
2016-11-06,48
2016-11-13,60
2016-11-20,35
2016-11-27,13
2016-12-04,32
2016-12-11,0
2016-12-18,0
2016-12-25,0
2017-01-01,0
2017-01-08,0
2017-01-15,0
2017-01-22,6
2017-01-29,0
2017-02-05,8
2017-02-12,59
2017-02-19,19
2017-02-26,0
2017-03-05,0
2017-03-12,5
2017-03-19,0
2017-03-26,0
2017-04-02,0
2017-04-09,0
2017-04-16,0
2017-04-23,0
2017-04-30,0
2017-05-07,6
2017-05-14,0
2017-05-21,0
2017-05-28,0
2017-06-04,5
2017-06-11,18
2017-06-18,36
2017-06-25,8
2017-07-02,0
2017-07-09,6
2017-07-16,0
2017-07-23,13
2017-07-30,9
2017-08-06,0
2017-08-13,0
2017-08-20,0
2017-08-27,0
2017-09-03,0
2017-09-10,0
2017-09-17,16
2017-09-24,0
2017-10-01,0
2017-10-08,15
2017-10-15,0
2017-10-22,16
2017-10-29,0
2017-11-05,0
2017-11-12,0
2017-11-19,0
2017-11-26,0
2017-12-03,11
2017-12-10,0
2017-12-17,0
2017-12-24,22
2017-12-31,0
2018-01-07,0
2018-01-14,0
2018-01-21,0
2018-01-28,0
2018-02-04,0
2018-02-11,0
2018-02-18,14
2018-02-25,17
2018-03-04,17
2018-03-11,26
2018-03-18,25
2018-03-25,30
2018-04-01,35
2018-04-08,16
2018-04-15,38
2018-04-22,32
2018-04-29,16
2018-05-06,27
2018-05-13,0
2018-05-20,34
2018-05-27,12
2018-06-03,19
2018-06-10,0
2018-06-17,24
2018-06-24,10
2018-07-01,17
2018-07-08,32
2018-07-15,23
2018-07-22,40
2018-07-29,36
2018-08-05,45
2018-08-12,62
2018-08-19,15
2018-08-26,49
2018-09-02,58
2018-09-09,64
2018-09-16,53
2018-09-23,41
2018-09-30,46
2018-10-07,38
2018-10-14,77
2018-10-21,58
2018-10-28,49
2018-11-04,98
2018-11-11,73
2018-11-18,43
2018-11-25,62
2018-12-02,61
2018-12-09,59
2018-12-16,43
2018-12-23,42
2018-12-30,10
2019-01-06,25
2019-01-13,62
2019-01-20,81
2019-01-27,60
2019-02-03,44
2019-02-10,25
2019-02-17,38
2019-02-24,44
2019-03-03,74
2019-03-10,45
2019-03-17,52
2019-03-24,58
2019-03-31,18
2019-04-07,36
2019-04-14,36
2019-04-21,26
2019-04-28,35
2019-05-05,32
2019-05-12,56
2019-05-19,27
2019-05-26,47
2019-06-02,27
2019-06-09,66
2019-06-16,88
2019-06-23,100
2019-06-30,64
2019-07-07,73
2019-07-14,57
2019-07-21,85
