Kategori: Tüm kategoriler

Hafta,IST:TTKOM: (Türkiye)
2015-07-26,0
2015-08-02,0
2015-08-09,0
2015-08-16,2
2015-08-23,7
2015-08-30,0
2015-09-06,0
2015-09-13,4
2015-09-20,0
2015-09-27,3
2015-10-04,0
2015-10-11,2
2015-10-18,5
2015-10-25,0
2015-11-01,3
2015-11-08,2
2015-11-15,0
2015-11-22,0
2015-11-29,0
2015-12-06,2
2015-12-13,4
2015-12-20,8
2015-12-27,4
2016-01-03,2
2016-01-10,5
2016-01-17,3
2016-01-24,9
2016-01-31,5
2016-02-07,5
2016-02-14,3
2016-02-21,6
2016-02-28,3
2016-03-06,9
2016-03-13,5
2016-03-20,5
2016-03-27,10
2016-04-03,6
2016-04-10,6
2016-04-17,10
2016-04-24,5
2016-05-01,4
2016-05-08,4
2016-05-15,4
2016-05-22,7
2016-05-29,4
2016-06-05,4
2016-06-12,5
2016-06-19,2
2016-06-26,5
2016-07-03,4
2016-07-10,6
2016-07-17,4
2016-07-24,4
2016-07-31,6
2016-08-07,2
2016-08-14,7
2016-08-21,4
2016-08-28,0
2016-09-04,0
2016-09-11,7
2016-09-18,2
2016-09-25,12
2016-10-02,4
2016-10-09,7
2016-10-16,10
2016-10-23,8
2016-10-30,6
2016-11-06,0
2016-11-13,5
2016-11-20,0
2016-11-27,0
2016-12-04,0
2016-12-11,0
2016-12-18,0
2016-12-25,0
2017-01-01,0
2017-01-08,0
2017-01-15,0
2017-01-22,0
2017-01-29,0
2017-02-05,2
2017-02-12,0
2017-02-19,0
2017-02-26,0
2017-03-05,0
2017-03-12,0
2017-03-19,0
2017-03-26,0
2017-04-02,0
2017-04-09,0
2017-04-16,0
2017-04-23,0
2017-04-30,0
2017-05-07,0
2017-05-14,0
2017-05-21,0
2017-05-28,0
2017-06-04,0
2017-06-11,0
2017-06-18,0
2017-06-25,0
2017-07-02,0
2017-07-09,0
2017-07-16,0
2017-07-23,0
2017-07-30,0
2017-08-06,0
2017-08-13,0
2017-08-20,0
2017-08-27,2
2017-09-03,2
2017-09-10,0
2017-09-17,0
2017-09-24,0
2017-10-01,3
2017-10-08,1
2017-10-15,2
2017-10-22,0
2017-10-29,0
2017-11-05,0
2017-11-12,0
2017-11-19,0
2017-11-26,0
2017-12-03,14
2017-12-10,9
2017-12-17,13
2017-12-24,2
2017-12-31,0
2018-01-07,0
2018-01-14,2
2018-01-21,0
2018-01-28,0
2018-02-04,0
2018-02-11,0
2018-02-18,0
2018-02-25,2
2018-03-04,0
2018-03-11,0
2018-03-18,0
2018-03-25,8
2018-04-01,0
2018-04-08,2
2018-04-15,0
2018-04-22,0
2018-04-29,0
2018-05-06,2
2018-05-13,0
2018-05-20,0
2018-05-27,0
2018-06-03,0
2018-06-10,0
2018-06-17,0
2018-06-24,0
2018-07-01,3
2018-07-08,0
2018-07-15,2
2018-07-22,0
2018-07-29,0
2018-08-05,0
2018-08-12,0
2018-08-19,0
2018-08-26,3
2018-09-02,0
2018-09-09,1
2018-09-16,16
2018-09-23,100
2018-09-30,86
2018-10-07,75
2018-10-14,62
2018-10-21,59
2018-10-28,47
2018-11-04,72
2018-11-11,57
2018-11-18,22
2018-11-25,0
2018-12-02,0
2018-12-09,4
2018-12-16,0
2018-12-23,0
2018-12-30,2
2019-01-06,2
2019-01-13,0
2019-01-20,0
2019-01-27,0
2019-02-03,0
2019-02-10,0
2019-02-17,2
2019-02-24,0
2019-03-03,0
2019-03-10,0
2019-03-17,0
2019-03-24,0
2019-03-31,2
2019-04-07,6
2019-04-14,18
2019-04-21,0
2019-04-28,0
2019-05-05,0
2019-05-12,0
2019-05-19,0
2019-05-26,0
2019-06-02,0
2019-06-09,0
2019-06-16,0
2019-06-23,0
2019-06-30,0
2019-07-07,0
2019-07-14,3
2019-07-21,0
